iter	Passed	Remaining
0	397	79013
1	775	76817
2	1138	74737
3	1518	74430
4	1936	75528
5	2368	76591
6	2803	77295
7	3212	77090
8	3620	76837
9	4019	76376
10	4400	75615
11	4777	74854
12	5226	75174
13	5670	75343
14	6066	74822
15	6470	74408
16	6843	73663
17	7227	73080
18	7521	71656
19	7845	70605
20	8261	70415
21	8681	70242
22	9029	69490
23	9427	69133
24	9726	68084
25	10086	67501
26	10489	67209
27	10934	67170
28	11314	66716
29	11700	66301
30	12061	65757
31	12396	65081
32	12809	64823
33	13218	64536
34	13671	64452
35	14084	64161
36	14552	64111
37	14932	63657
38	15314	63219
39	15712	62850
40	16069	62320
41	16479	61992
42	16912	61752
43	17327	61433
44	17737	61095
45	18129	60693
46	18534	60334
47	18903	59862
48	19287	59437
49	19724	59172
50	20084	58678
51	20469	58258
52	20806	57708
53	21107	57067
54	21478	56625
55	21853	56194
56	22237	55788
57	22648	55449
58	23009	54988
59	23292	54349
60	23737	54089
61	24135	53721
62	24453	53175
63	24766	52628
64	25117	52166
65	25376	51521
66	25775	51165
67	26114	50692
68	26524	50358
69	26819	49806
70	27281	49568
71	27702	49249
72	28058	48814
73	28393	48345
74	28761	47935
75	29191	47628
76	29603	47288
77	29968	46874
78	30349	46484
79	30744	46116
80	31114	45711
81	31473	45291
82	31816	44850
83	32208	44477
84	32564	44058
85	32897	43607
86	33209	43133
87	33593	42755
88	33967	42364
89	34334	41964
90	34676	41536
91	35102	41206
92	35481	40822
93	35808	40379
94	36237	40051
95	36617	39669
96	36970	39257
97	37306	38828
98	37672	38433
99	38008	38008
100	38411	37650
101	38755	37235
102	39159	36878
103	39535	36493
104	39910	36109
105	40239	35683
106	40584	35274
107	41017	34941
108	41443	34599
109	41844	34236
110	42230	33860
111	42517	33406
112	42905	33033
113	43300	32664
114	43655	32267
115	44060	31905
116	44487	31559
117	44843	31162
118	45235	30790
119	45599	30399
120	45925	29984
121	46276	29586
122	46604	29175
123	46980	28794
124	47407	28444
125	47716	28024
126	48118	27658
127	48492	27276
128	48873	26899
129	49258	26523
130	49634	26143
131	49999	25757
132	50381	25380
133	50824	25032
134	51145	24625
135	51535	24251
136	51875	23855
137	52176	23441
138	52554	23063
139	52893	22668
140	53267	22289
141	53556	21875
142	53953	21505
143	54312	21121
144	54749	20766
145	55151	20398
146	55516	20016
147	55826	19614
148	56218	19242
149	56564	18854
150	56917	18470
151	57343	18108
152	57677	17717
153	58061	17343
154	58372	16946
155	58743	16568
156	59165	16204
157	59568	15834
158	59950	15459
159	60335	15083
160	60719	14708
161	61092	14330
162	61507	13961
163	61935	13595
164	62259	13206
165	62539	12809
166	62922	12433
167	63266	12050
168	63624	11670
169	63973	11289
170	64295	10903
171	64649	10524
172	65065	10154
173	65450	9780
174	65807	9401
175	66162	9022
176	66487	8639
177	66899	8268
178	67226	7886
179	67536	7504
180	67894	7127
181	68209	6745
182	68617	6374
183	68976	5997
184	69301	5619
185	69651	5242
186	70012	4867
187	70415	4494
188	70757	4118
189	71211	3747
190	71589	3373
191	71976	2999
192	72321	2623
193	72597	2245
194	73007	1871
195	73333	1496
196	73749	1123
197	74135	748
198	74557	374
199	74993	0
