iter	Passed	Remaining
0	372	74114
1	793	78511
2	1134	74474
3	1449	71038
4	1865	72754
5	2231	72142
6	2657	73257
7	3024	72595
8	3362	71366
9	3761	71460
10	4172	71684
11	4588	71884
12	4967	71455
13	5407	71836
14	5785	71359
15	6213	71452
16	6526	70256
17	6884	69608
18	7307	69614
19	7723	69510
20	8141	69394
21	8594	69539
22	9013	69362
23	9430	69160
24	9828	68801
25	10239	68523
26	10624	68077
27	11021	67702
28	11416	67317
29	11845	67124
30	12247	66769
31	12646	66393
32	12999	65784
33	13394	65398
34	13745	64797
35	14147	64449
36	14558	64137
37	14899	63519
38	15274	63056
39	15695	62782
40	16038	62198
41	16305	61340
42	16663	60840
43	17045	60434
44	17393	59910
45	17784	59538
46	18179	59178
47	18603	58911
48	18955	58413
49	19340	58021
50	19717	57606
51	20127	57286
52	20537	56962
53	20955	56657
54	21429	56495
55	21820	56109
56	22234	55781
57	22604	55340
58	22960	54872
59	23354	54493
60	23696	53996
61	24090	53621
62	24484	53244
63	24799	52699
64	25198	52335
65	25579	51934
66	25865	51344
67	26212	50883
68	26562	50429
69	26955	50060
70	27248	49507
71	27613	49091
72	28020	48747
73	28269	48134
74	28617	47695
75	28986	47293
76	29356	46893
77	29778	46576
78	30182	46228
79	30545	45817
80	30939	45454
81	31241	44957
82	31587	44527
83	31979	44162
84	32304	43706
85	32645	43273
86	32989	42848
87	33406	42517
88	33742	42083
89	34124	41708
90	34536	41367
91	34936	41012
92	35273	40583
93	35667	40221
94	36032	39825
95	36421	39456
96	36743	39015
97	37109	38624
98	37443	38200
99	37715	37715
100	38104	37350
101	38487	36977
102	38870	36606
103	39263	36243
104	39614	35841
105	39976	35451
106	40363	35081
107	40747	34710
108	41105	34317
109	41396	33870
110	41786	33504
111	42186	33146
112	42591	32791
113	42959	32407
114	43410	32085
115	43836	31743
116	44248	31390
117	44585	30983
118	44902	30563
119	45257	30171
120	45656	29808
121	46036	29432
122	46425	29062
123	46775	28668
124	47115	28269
125	47382	27827
126	47747	27445
127	48115	27064
128	48511	26699
129	48826	26291
130	49221	25925
131	49551	25526
132	49912	25144
133	50161	24706
134	50477	24304
135	50892	23949
136	51195	23542
137	51540	23156
138	51909	22780
139	52330	22427
140	52724	22062
141	53171	21717
142	53525	21335
143	53939	20976
144	54375	20625
145	54786	20263
146	55223	19910
147	55496	19498
148	55878	19126
149	56217	18739
150	56623	18374
151	57032	18010
152	57429	17641
153	57856	17281
154	58263	16915
155	58715	16560
156	59024	16165
157	59471	15808
158	59841	15430
159	60248	15062
160	60584	14675
161	60936	14293
162	61229	13898
163	61662	13535
164	62018	13155
165	62350	12770
166	62732	12396
167	63137	12026
168	63403	11630
169	63798	11258
170	64198	10887
171	64599	10516
172	64991	10143
173	65415	9774
174	65831	9404
175	66184	9025
176	66567	8649
177	66938	8273
178	67227	7887
179	67598	7510
180	67992	7137
181	68391	6763
182	68839	6394
183	69137	6011
184	69490	5634
185	69803	5253
186	70154	4877
187	70491	4499
188	70894	4126
189	71283	3751
190	71582	3372
191	71866	2994
192	72199	2618
193	72487	2241
194	72843	1867
195	73159	1493
196	73513	1119
197	73883	746
198	74184	372
199	74583	0
