iter	Passed	Remaining
0	327	65150
1	699	69274
2	1091	71646
3	1447	70951
4	1839	71742
5	2200	71160
6	2595	71558
7	3021	72505
8	3406	72293
9	3843	73018
10	4236	72788
11	4660	73012
12	4934	70980
13	5332	70845
14	5745	70857
15	6094	70090
16	6479	69745
17	6854	69302
18	7277	69323
19	7601	68410
20	7985	68068
21	8323	67343
22	8731	67190
23	9152	67120
24	9532	66725
25	9895	66222
26	10255	65712
27	10654	65449
28	10903	64293
29	11296	64012
30	11649	63508
31	12083	63436
32	12419	62849
33	12787	62432
34	13119	61850
35	13531	61642
36	13838	60962
37	14133	60254
38	14518	59936
39	14930	59723
40	15361	59573
41	15696	59048
42	16026	58513
43	16435	58270
44	16771	57768
45	17215	57635
46	17620	57359
47	17982	56943
48	18360	56581
49	18794	56384
50	19232	56188
51	19623	55852
52	20069	55663
53	20494	55410
54	20851	54972
55	21229	54589
56	21538	54034
57	21902	53622
58	22304	53303
59	22637	52820
60	22972	52346
61	23407	52100
62	23718	51578
63	24156	51332
64	24494	50872
65	24940	50637
66	25339	50299
67	25715	49918
68	26110	49572
69	26531	49272
70	26894	48864
71	27274	48488
72	27669	48137
73	28086	47822
74	28535	47559
75	28938	47214
76	29339	46866
77	29640	46361
78	30064	46047
79	30443	45665
80	30755	45183
81	31081	44727
82	31465	44354
83	31839	43969
84	32222	43595
85	32657	43290
86	32934	42777
87	33188	42239
88	33593	41897
89	34008	41565
90	34463	41280
91	34891	40959
92	35298	40611
93	35676	40231
94	35932	39714
95	36274	39297
96	36679	38948
97	37067	38580
98	37370	38125
99	37746	37746
100	38083	37329
101	38471	36962
102	38888	36623
103	39318	36294
104	39680	35901
105	40029	35497
106	40455	35162
107	40821	34773
108	41185	34384
109	41541	33988
110	41856	33560
111	42222	33174
112	42666	32849
113	42979	32423
114	43411	32086
115	43806	31721
116	44178	31340
117	44556	30963
118	44891	30556
119	45165	30110
120	45527	29724
121	45895	29343
122	46218	28933
123	46585	28552
124	47040	28224
125	47428	27855
126	47762	27453
127	48157	27088
128	48549	26720
129	49003	26386
130	49440	26041
131	49799	25654
132	50122	25249
133	50532	24888
134	50916	24515
135	51312	24147
136	51677	23764
137	52070	23393
138	52451	23018
139	52798	22627
140	53115	22225
141	53440	21827
142	53804	21446
143	54144	21056
144	54577	20701
145	54990	20338
146	55349	19956
147	55777	19597
148	56174	19227
149	56596	18865
150	56901	18464
151	57323	18102
152	57672	17716
153	58023	17331
154	58425	16962
155	58815	16589
156	59194	16212
157	59543	15828
158	59933	15454
159	60178	15044
160	60540	14665
161	60938	14294
162	61304	13915
163	61684	13540
164	62036	13159
165	62399	12780
166	62670	12384
167	63010	12001
168	63331	11617
169	63699	11241
170	64025	10858
171	64316	10470
172	64654	10090
173	65008	9713
174	65400	9342
175	65845	8978
176	66170	8598
177	66598	8231
178	67039	7865
179	67469	7496
180	67894	7127
181	68265	6751
182	68671	6379
183	69003	6000
184	69381	5625
185	69747	5249
186	70082	4872
187	70400	4493
188	70774	4119
189	71098	3742
190	71499	3369
191	71836	2993
192	72175	2617
193	72583	2244
194	72978	1871
195	73337	1496
196	73737	1122
197	74020	747
198	74371	373
199	74674	0
