iter	Passed	Remaining
0	370	73704
1	730	72357
2	1144	75130
3	1471	72118
4	1865	72750
5	2305	74529
6	2573	70964
7	2939	70556
8	3237	68698
9	3648	69319
10	4055	69678
11	4417	69208
12	4789	68893
13	5199	69078
14	5638	69542
15	5973	68700
16	6319	68024
17	6700	67751
18	7122	67848
19	7511	67602
20	7854	66953
21	8184	66220
22	8499	65412
23	8847	64881
24	9146	64025
25	9552	63928
26	9888	63357
27	10279	63143
28	10637	62721
29	10993	62296
30	11320	61714
31	11648	61154
32	12050	60982
33	12360	60348
34	12806	60375
35	13212	60191
36	13607	59946
37	13998	59675
38	14339	59195
39	14674	58696
40	15062	58414
41	15438	58079
42	15779	57613
43	16183	57378
44	16603	57190
45	17006	56933
46	17350	56481
47	17670	55955
48	18018	55527
49	18345	55037
50	18608	54364
51	18923	53857
52	19261	53423
53	19656	53144
54	20048	52854
55	20426	52524
56	20835	52270
57	21274	52086
58	21589	51594
59	21940	51193
60	22344	50916
61	22719	50569
62	23153	50349
63	23590	50130
64	23999	49844
65	24355	49448
66	24650	48933
67	24939	48412
68	25274	47985
69	25578	47503
70	25951	47151
71	26303	46762
72	26621	46313
73	27060	46076
74	27446	45743
75	27880	45488
76	28137	44947
77	28550	44656
78	28856	44198
79	29217	43826
80	29584	43463
81	29929	43069
82	30289	42697
83	30664	42346
84	31046	42004
85	31355	41564
86	31717	41196
87	32020	40753
88	32397	40406
89	32740	40016
90	33068	39609
91	33327	39123
92	33706	38780
93	34102	38455
94	34483	38113
95	34897	37805
96	35318	37502
97	35682	37138
98	36078	36807
99	36472	36472
100	36842	36113
101	37255	35794
102	37598	35407
103	37962	35042
104	38302	34654
105	38645	34270
106	38951	33855
107	39332	33505
108	39775	33207
109	40130	32833
110	40500	32473
111	40798	32055
112	41126	31663
113	41522	31324
114	41917	30982
115	42309	30637
116	42586	30211
117	42975	29864
118	43326	29491
119	43751	29167
120	44103	28795
121	44483	28440
122	44870	28089
123	45289	27758
124	45581	27349
125	45979	27003
126	46319	26624
127	46753	26298
128	47146	25948
129	47472	25562
130	47920	25240
131	48334	24899
132	48665	24515
133	49084	24175
134	49350	23761
135	49697	23387
136	50048	23015
137	50309	22602
138	50741	22267
139	51150	21921
140	51528	21561
141	51833	21171
142	52242	20823
143	52585	20449
144	52933	20078
145	53284	19707
146	53692	19358
147	53950	18955
148	54390	18616
149	54804	18268
150	55237	17924
151	55601	17558
152	55997	17201
153	56334	16827
154	56687	16457
155	57019	16082
156	57326	15700
157	57589	15308
158	57986	14952
159	58398	14599
160	58777	14238
161	59187	13883
162	59510	13508
163	59880	13144
164	60249	12780
165	60609	12413
166	60966	12047
167	61304	11676
168	61666	11311
169	62091	10957
170	62487	10597
171	62900	10239
172	63177	9860
173	63601	9503
174	64030	9147
175	64444	8787
176	64757	8414
177	65087	8044
178	65413	7674
179	65808	7312
180	66179	6947
181	66579	6584
182	66965	6220
183	67341	5855
184	67685	5488
185	68070	5123
186	68412	4755
187	68704	4385
188	69073	4020
189	69510	3658
190	69864	3292
191	70263	2927
192	70630	2561
193	71018	2196
194	71295	1828
195	71655	1462
196	72002	1096
197	72371	731
198	72768	365
199	73219	0
