iter	Passed	Remaining
0	378	75305
1	743	73565
2	1151	75624
3	1486	72820
4	1877	73228
5	2306	74591
6	2574	70989
7	2948	70757
8	3247	68928
9	3676	69852
10	4084	70186
11	4442	69595
12	4810	69201
13	5266	69971
14	5743	70836
15	6082	69950
16	6442	69354
17	6827	69038
18	7255	69113
19	7643	68790
20	8043	68560
21	8410	68051
22	8743	67289
23	9095	66698
24	9410	65870
25	9827	65767
26	10167	65148
27	10551	64816
28	10909	64329
29	11272	63878
30	11591	63190
31	11914	62551
32	12330	62399
33	12636	61695
34	13085	61689
35	13496	61482
36	13896	61217
37	14281	60886
38	14630	60397
39	14988	59955
40	15385	59664
41	15771	59332
42	16102	58791
43	16511	58540
44	16933	58325
45	17339	58049
46	17683	57567
47	18018	57057
48	18390	56674
49	18722	56166
50	18993	55490
51	19311	54964
52	19636	54464
53	20035	54169
54	20433	53869
55	20802	53492
56	21213	53218
57	21664	53039
58	21980	52529
59	22341	52129
60	22746	51831
61	23125	51473
62	23590	51299
63	24024	51051
64	24459	50801
65	24832	50417
66	25135	49895
67	25416	49337
68	25758	48903
69	26072	48420
70	26462	48079
71	26833	47703
72	27144	47224
73	27594	46986
74	27990	46651
75	28428	46383
76	28681	45815
77	29089	45498
78	29392	45018
79	29746	44619
80	30121	44252
81	30477	43857
82	30859	43500
83	31256	43163
84	31633	42797
85	31947	42348
86	32303	41957
87	32601	41492
88	32978	41130
89	33324	40729
90	33658	40316
91	33918	39816
92	34287	39448
93	34683	39111
94	35068	38759
95	35484	38441
96	35901	38122
97	36260	37740
98	36640	37380
99	37027	37027
100	37410	36669
101	37824	36341
102	38175	35951
103	38543	35579
104	38878	35176
105	39227	34786
106	39536	34363
107	39918	34005
108	40370	33703
109	40720	33316
110	41105	32958
111	41410	32537
112	41744	32139
113	42146	31794
114	42547	31448
115	42950	31101
116	43237	30673
117	43625	30316
118	43979	29935
119	44402	29601
120	44756	29220
121	45138	28858
122	45519	28496
123	45949	28162
124	46241	27744
125	46639	27391
126	46987	27008
127	47434	26681
128	47816	26317
129	48136	25919
130	48582	25589
131	49001	25243
132	49338	24854
133	49766	24511
134	50028	24087
135	50367	23702
136	50719	23323
137	50980	22904
138	51409	22560
139	51810	22204
140	52201	21843
141	52519	21451
142	52958	21109
143	53364	20752
144	53802	20407
145	54179	20038
146	54611	19689
147	54885	19283
148	55342	18942
149	55759	18586
150	56200	18237
151	56571	17864
152	56968	17500
153	57319	17121
154	57692	16749
155	58040	16370
156	58344	15979
157	58613	15580
158	59015	15217
159	59434	14858
160	59834	14493
161	60267	14136
162	60612	13758
163	60996	13389
164	61378	13019
165	61747	12647
166	62117	12274
167	62468	11898
168	62820	11523
169	63254	11162
170	63668	10797
171	64068	10429
172	64351	10043
173	64769	9678
174	65183	9311
175	65591	8944
176	65909	8564
177	66241	8187
178	66573	7810
179	66969	7441
180	67340	7068
181	67734	6699
182	68117	6327
183	68482	5954
184	68829	5580
185	69216	5209
186	69574	4836
187	69867	4459
188	70229	4087
189	70662	3719
190	71021	3346
191	71416	2975
192	71786	2603
193	72182	2232
194	72459	1857
195	72825	1486
196	73173	1114
197	73538	742
198	73931	371
199	74412	0
