iter	Passed	Remaining
0	374	74521
1	743	73613
2	1158	76053
3	1488	72916
4	1881	73374
5	2314	74836
6	2585	71294
7	2952	70859
8	3247	68924
9	3672	69785
10	4071	69950
11	4437	69517
12	4805	69129
13	5223	69399
14	5668	69915
15	6007	69088
16	6354	68407
17	6725	68005
18	7142	68045
19	7521	67693
20	7866	67053
21	8198	66337
22	8519	65566
23	8863	64997
24	9163	64143
25	9573	64070
26	9912	63512
27	10300	63276
28	10659	62851
29	11016	62426
30	11340	61822
31	11666	61250
32	12080	61132
33	12393	60509
34	12845	60557
35	13260	60408
36	13654	60154
37	14051	59903
38	14403	59458
39	14740	58960
40	15117	58625
41	15494	58288
42	15822	57771
43	16232	57551
44	16650	57350
45	17059	57111
46	17405	56659
47	17740	56177
48	18100	55778
49	18424	55273
50	18688	54599
51	19002	54085
52	19335	53628
53	19722	53324
54	20118	53039
55	20497	52708
56	20894	52419
57	21341	52249
58	21656	51755
59	22009	51355
60	22404	51052
61	22785	50715
62	23238	50534
63	23674	50307
64	24113	50081
65	24497	49737
66	24797	49224
67	25085	48695
68	25433	48287
69	25748	47818
70	26142	47497
71	26505	47121
72	26817	46655
73	27261	46418
74	27652	46087
75	28100	45847
76	28356	45296
77	28767	44995
78	29078	44537
79	29437	44156
80	29816	43804
81	30156	43396
82	30513	43013
83	30899	42670
84	31267	42303
85	31575	41855
86	31929	41472
87	32216	41003
88	32584	40638
89	32928	40246
90	33270	39851
91	33533	39365
92	33905	39008
93	34289	38667
94	34672	38321
95	35070	37993
96	35495	37690
97	35852	37316
98	36239	36971
99	36624	36624
100	37008	36275
101	37428	35960
102	37768	35568
103	38144	35210
104	38485	34820
105	38833	34437
106	39139	34018
107	39522	33667
108	39974	33373
109	40331	32998
110	40707	32639
111	41009	32221
112	41345	31832
113	41747	31493
114	42142	31149
115	42545	30809
116	42828	30382
117	43221	30035
118	43584	29666
119	44006	29337
120	44354	28958
121	44733	28600
122	45117	28244
123	45531	27906
124	45816	27489
125	46222	27146
126	46561	26763
127	47012	26444
128	47403	26090
129	47728	25700
130	48171	25373
131	48580	25026
132	48914	24641
133	49333	24298
134	49594	23878
135	49942	23502
136	50296	23129
137	50558	22714
138	50988	22376
139	51402	22029
140	51791	21671
141	52106	21282
142	52516	20933
143	52861	20557
144	53224	20188
145	53573	19814
146	53988	19465
147	54244	19058
148	54655	18707
149	55052	18350
150	55476	18002
151	55830	17630
152	56221	17270
153	56565	16896
154	56915	16523
155	57251	16147
156	57552	15762
157	57822	15370
158	58214	15011
159	58628	14657
160	59012	14294
161	59433	13941
162	59752	13563
163	60129	13199
164	60508	12835
165	60861	12465
166	61212	12095
167	61557	11725
168	61904	11355
169	62331	10999
170	62727	10638
171	63132	10277
172	63421	9898
173	63852	9541
174	64255	9179
175	64662	8817
176	64971	8442
177	65303	8071
178	65633	7700
179	66024	7336
180	66395	6969
181	66781	6604
182	67168	6239
183	67534	5872
184	67867	5502
185	68249	5137
186	68599	4768
187	68890	4397
188	69249	4030
189	69674	3667
190	70037	3300
191	70436	2934
192	70812	2568
193	71216	2202
194	71496	1833
195	71863	1466
196	72213	1099
197	72572	733
198	72970	366
199	73457	0
