iter	Passed	Remaining
0	249	49580
1	580	57475
2	958	62959
3	1280	62765
4	1746	68126
5	2097	67803
6	2496	68833
7	2795	67081
8	3156	66985
9	3533	67134
10	3912	67223
11	4192	65685
12	4594	66091
13	4894	65024
14	5243	64668
15	5663	65132
16	6065	65292
17	6421	64924
18	6852	65275
19	7231	65082
20	7561	64452
21	7834	63389
22	8187	63009
23	8579	62918
24	8979	62857
25	9321	62382
26	9707	62202
27	10043	61697
28	10358	61081
29	10793	61161
30	11165	60870
31	11489	60318
32	11884	60141
33	12302	60065
34	12743	60076
35	12997	59210
36	13386	58972
37	13771	58709
38	14202	58632
39	14613	58454
40	14967	58042
41	15275	57463
42	15600	56961
43	15889	56334
44	16175	55714
45	16604	55590
46	16839	54818
47	17193	54445
48	17570	54145
49	17951	53853
50	18334	53565
51	18768	53418
52	19143	53096
53	19545	52845
54	19949	52594
55	20347	52320
56	20700	51933
57	21074	51596
58	21353	51031
59	21778	50816
60	22191	50566
61	22541	50173
62	22886	49770
63	23283	49477
64	23672	49166
65	23976	48679
66	24414	48464
67	24733	48012
68	25165	47778
69	25551	47452
70	25918	47090
71	26281	46721
72	26624	46319
73	27019	46006
74	27479	45799
75	27906	45531
76	28310	45224
77	28687	44870
78	29159	44662
79	29466	44199
80	29870	43883
81	30278	43571
82	30679	43247
83	31076	42914
84	31448	42548
85	31810	42167
86	32135	41739
87	32499	41362
88	32814	40925
89	33212	40593
90	33608	40256
91	34003	39917
92	34321	39487
93	34678	39105
94	34996	38679
95	35329	38273
96	35662	37868
97	36027	37498
98	36325	37059
99	36659	36659
100	37043	36309
101	37438	35970
102	37805	35603
103	38155	35220
104	38460	34797
105	38702	34320
106	39019	33913
107	39389	33554
108	39673	33121
109	39938	32677
110	40273	32291
111	40632	31925
112	41002	31568
113	41382	31218
114	41715	30833
115	42096	30483
116	42525	30167
117	42939	29839
118	43281	29460
119	43603	29068
120	44024	28743
121	44307	28327
122	44695	27980
123	45111	27649
124	45439	27263
125	45842	26923
126	46242	26580
127	46478	26144
128	46902	25814
129	47358	25500
130	47697	25122
131	48048	24752
132	48404	24384
133	48778	24025
134	49112	23646
135	49486	23287
136	49879	22937
137	50177	22543
138	50574	22194
139	50969	21844
140	51401	21508
141	51771	21145
142	52078	20758
143	52474	20406
144	52906	20067
145	53277	19705
146	53677	19353
147	54045	18989
148	54466	18642
149	54860	18286
150	55262	17932
151	55560	17545
152	55943	17185
153	56285	16812
154	56657	16448
155	57015	16081
156	57436	15730
157	57804	15365
158	58182	15003
159	58499	14624
160	58858	14257
161	59214	13889
162	59548	13517
163	59799	13126
164	60188	12767
165	60495	12390
166	60849	12024
167	61207	11658
168	61513	11283
169	61822	10909
170	62193	10547
171	62579	10187
172	62924	9820
173	63179	9440
174	63634	9090
175	63923	8716
176	64341	8360
177	64769	8005
178	65109	7638
179	65493	7277
180	65880	6915
181	66309	6558
182	66472	6175
183	66828	5811
184	67133	5443
185	67533	5083
186	67822	4714
187	68176	4351
188	68504	3987
189	68840	3623
190	69082	3255
191	69474	2894
192	69852	2533
193	70205	2171
194	70484	1807
195	70838	1445
196	71189	1084
197	71539	722
198	71937	361
199	72260	0
